sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G001,Pada 2012 enam juta password akun profesional Linkedln serta 58 ribu lebih akun Twitter dibobol oleh hacker via http://t.co/9H1AGBRSSj,relevan,peretasan_pencurian_identitas,R5,4,
G002,Bagus nih untuk mendidik dan mengedukasi Sdm rendah yg kepala batu susah dikasih paham. Semoga mereka cepet tobat yg masih main judol,relevan,judi_online_pinjol,R3,5,
G003,Komdigi Gandeng Mafindo Siapkan Alat Deteksi Deepfake Gunakan AI https://t.co/sNplR0Rj8F,relevan,deepfake_penipuan_ai,R5,4,
G004,Masya Allah akting nya bagus bgt deh👏,tidak_relevan,,,5,
G005,"aku dlu juga pecandu judi Alhamdulillah sekarang udh anti judi sekitar 2 tahunan, awal main cuma modal 15k tpi di kasih jadi 100k dari situ lah mulai sering deposit",relevan,judi_online_pinjol,R1,4,
G006,Selalu waspada dan semoga kita terhindar dari segala bentuk modus penipuan,relevan,phishing_rekayasa_sosial,R3,3,
G007,"Mas mau reques, tolong d bongkar untuk judi bolanya",relevan,judi_online_pinjol,R3,3,
G008,kalau togel online gmna mas marcel masih settingan?,relevan,judi_online_pinjol,R2,3,
G009,Ini apk penipuan kah??? https://t.co/9JiQI7aky7,relevan,malware_apk,R2,3,
G010,"Viral Pria Tempel Stiker QRIS Palsu di Masjid, Polisi Selidiki dan Buru Pelaku https://t.co/WVI8hWAWfl",relevan,penipuan_ewallet_qris,R5,3,
G011,"Mantap konten y,, sya yg slah dtng maen judol,, saya akan berhenti,,",relevan,judi_online_pinjol,R1,4,
G012,Ttp aj gk bisa,tidak_relevan,,,5,
G013,Gawat! 250 Ribu Akun Twitter Dibobol http://t.co/IqnhvuQ2 via @detikinet,relevan,peretasan_pencurian_identitas,R5,3,
G014,"Deepfake: Kebenaran atau Kebohongan? 
Dengan kemajuan teknologi AI, deepfake semakin sulit dibedakan dari kenyataan. Bagaimana cara mendeteksi konten palsu ini?
Ciri-ciri deepfake:
- Gerakan wajah tidak alami
- Perubahan cahaya tidak konsisten
#InterLink #ITLG #ITL",relevan,deepfake_penipuan_ai,R3,4,
G015,"Saksikan #NILUH episode “TIPU-TIPU QRIS PALSU”, malam ini pkl 20.30 WIB, hanya di @KompasTV  

Streaming: https://t.co/rUTSoY8ekA https://t.co/axPJUuZXSk",relevan,penipuan_ewallet_qris,R5,3,
G016,"Fantastis! Pelaku Tukar QRIS Kotak Amal Masjid Raup Rp13 Juta dalam Sepekan
https://t.co/B3sn3geE8h",relevan,penipuan_ewallet_qris,R2,3,
G017,Video nadia omara itu asli bukan deepfake,tidak_relevan,,,3,
G018,Komdigi dan CSO Siapkan Alat Deteksi Deepfake Buatan AI https://t.co/vwh718DkW9 https://t.co/vZf0khrNq9,relevan,deepfake_penipuan_ai,R5,3,
G019,"@mhabibieih @suryabi @tanyarlfes Udah bang. Emang tukang nipu, dia kabur dari medan. Sebelum ke jakarta, abis dari bandung. Skg pake mobil plat bodong. 

Bahkan di istiqlal juga ditempelin qris palsu",relevan,penipuan_ewallet_qris,R2,5,
G020,"Kalau didengar dari suara, nada bicara, dan gaya percakapannya, bisa ketauan kalau itu AI. Cuma seperti apa yang kak Nessie bilang, gak semua orang itu tau dan peka akan masalah ini. Jadi bisa aja ditipu. Mana AI makin lama makin canggih lagi. Hadeuh, zemoga kita semua dijauhkan dan dilindungi dari orang² yang berniat jahat. Aamiin...",relevan,deepfake_penipuan_ai,R3,5,
G021,"Viral stiker barcode QRIS kotak amal palsu ditemukan di Masjid-masjid Jakarta, ada 50 di Istiqlal
#CelebritiesDotID #InfoCelebTerkini 
https://t.co/OCJk4vdS3d",relevan,penipuan_ewallet_qris,R5,3,
G022,"@zetsuputih25 @hrdbacot Mohon maaf mengenai kesamaan data dan dugaan kebocoran data Customer masih harus diinvestigasi lebih lanjut ya kak. Himbauan dan saran JNE agar kita bisa terhindar dari modus penipuan lainnya bisa kakak lihat di Channel tiktok dan IG resmi JNE sbb:
https://t.co/n4SeOXCmIr",relevan,peretasan_pencurian_identitas,R2,4,
G023,"Terima kasih bos informasinya,, yang bos utarakan diatas benar skali. saya udah terima aplikasi apk mengaku dr kurir JnT, awalnya mreka menelpon saya mgatakan bhwa paket saya alamatnya tdk valid, rayuan mreka sayang krn paket udah dibayar sm ongkirnya, saat itu juga saya terima pesan BRO OTP utk mengganti pasword, trs saya pancing tlng dong kirimin fhoto paketnya, tapi yg dikirim aplikasi APK paket JNT, dan dia bilang buka aja kak aplikasinya dan lengkapi datanya, saya langsng ingat pesan kk utk tdk di klik, diahir pembicaraan sya bilang carilah rezeki yg halal aplg utk diberikan ke anak istri. Terima kasih bos atas informasinya telah menyelamatkan orang orang dr kejahatan onlen. 👍💪🙏",relevan,malware_apk,R1,4,
G024,"Saya pengen balik sini lagi,biar saya ingat terus bahwa slot itu settingan",relevan,judi_online_pinjol,R1,3,
G025,"PENIPU FREELANCE PADAHAL DISURUH SCAN PINJOL  

No WA : +62 858-6220-1558 085862201558 @wonyejang
Seabank : shafa nuraini safitri (901563246480)

ini temenku yang kena tipu gais, aku tau dia salah, disini aku up biar kalian yang cari freelance lebih aware lagi 
#zonauang penipu https://t.co/I06WyDPJnI",relevan,phishing_rekayasa_sosial,R2,5,
G026,Ada oknum pengiriman yg jd mata² didalam untuk curi data...dijual dan dijadikan bahan untuk penipuan tuh..,relevan,peretasan_pencurian_identitas,R2,4,
